시도,시군구,연도,호수,면적
강원,강릉시,2015,4101,288
강원,강릉시,2016,5233,353
강원,강릉시,2017,5896,399
강원,강릉시,2018,6743,480
강원,강릉시,2019,5387,399
강원,강릉시,2020,5444,375
강원,강릉시,2021,10408,776
강원,강릉시,2022,4366,282
강원,강릉시,2023,3581,300
강원,강릉시,2024,3537,258
강원,고성군,2015,160,9
강원,고성군,2016,166,10
강원,고성군,2017,146,8
강원,고성군,2018,612,47
강원,고성군,2019,587,43
강원,고성군,2020,621,44
강원,고성군,2021,870,61
강원,고성군,2022,760,54
강원,고성군,2023,643,48
강원,고성군,2024,250,18
강원,동해시,2015,1324,85
강원,동해시,2016,1979,125
강원,동해시,2017,2649,181
강원,동해시,2018,2134,148
강원,동해시,2019,1682,117
강원,동해시,2020,2502,176
강원,동해시,2021,3346,244
강원,동해시,2022,1503,96
강원,동해시,2023,1416,95
강원,동해시,2024,1728,133
강원,삼척시,2015,1296,81
강원,삼척시,2016,760,47
강원,삼척시,2017,954,61
강원,삼척시,2018,1777,120
강원,삼척시,2019,615,38
강원,삼척시,2020,1021,66
강원,삼척시,2021,2326,171
강원,삼척시,2022,1231,82
강원,삼척시,2023,677,45
강원,삼척시,2024,1096,72
강원,속초시,2015,2599,187
강원,속초시,2016,5259,330
강원,속초시,2017,4845,342
강원,속초시,2018,4959,378
강원,속초시,2019,3958,289
강원,속초시,2020,5785,433
강원,속초시,2021,4076,285
강원,속초시,2022,2002,130
강원,속초시,2023,1692,118
강원,속초시,2024,2269,175
강원,양구군,2015,427,34
강원,양구군,2016,59,4
강원,양구군,2017,123,9
강원,양구군,2018,238,19
강원,양구군,2019,175,13
강원,양구군,2020,103,8
강원,양구군,2021,99,7
강원,양구군,2022,86,6
강원,양구군,2023,87,6
강원,양구군,2024,59,4
강원,양양군,2015,409,21
강원,양양군,2016,654,40
강원,양양군,2017,954,65
강원,양양군,2018,837,58
강원,양양군,2019,593,40
강원,양양군,2020,659,45
강원,양양군,2021,696,42
강원,양양군,2022,555,33
강원,양양군,2023,470,32
강원,양양군,2024,319,21
강원,영월군,2015,214,14
강원,영월군,2016,405,26
강원,영월군,2017,407,25
강원,영월군,2018,388,23
강원,영월군,2019,470,34
강원,영월군,2020,347,23
강원,영월군,2021,600,40
강원,영월군,2022,272,17
강원,영월군,2023,237,14
강원,영월군,2024,251,15
강원,원주시,2015,10459,770
강원,원주시,2016,12826,935
강원,원주시,2017,14600,1119
강원,원주시,2018,11987,876
강원,원주시,2019,13276,998
